front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.6903555660247803,0.0011243004146549436,0.0,1.0,0.0009279102610424161,0.955,0.13360820245742797,1.0,0.0011243004146549436,0.9471111111111111,0.20557831700642903,nan,0.5629694,,
1,0.46424718084335326,0.023275958176122772,0.15886578689714145,0.102,4.856626526641846,0.114,5.440311828613281,0.9929333333333333,0.023275958176122772,0.9343333333333333,0.26599448161655004,219.20249349586612,0.5578648,MASK|QUANTIZE,
2,0.47548738894462583,0.004353814079695277,0.1084008615131714,0.6966,1.0314429756164551,0.613,1.782964370727539,0.9995555555555555,0.004353814079695277,0.9428888888888889,0.20876634168624877,319.09295709468455,0.5484492000000001,DAMP|MASK,best selectivity
3,0.592777663230896,0.8887574250115289,0.08488155360255209,0.7486,1.0035992821395396,0.724,1.0975039215087892,0.7691777777777777,0.8887574250115289,0.7431111111111111,1.0998119595845541,1.129601120208159,0.5045604,CLIP,
4,0.653993357849121,0.25901029046376545,0.03636612240721364,0.935,0.21553989617228508,0.871,0.5255467910766601,0.9330444444444445,0.25901029046376545,0.866,0.5814744406806098,0.8321971498737603,0.5218011,CLIP,
5,0.653993357849121,0.25901029046376545,0.03636612240721364,0.935,0.21553989617228508,0.871,0.5255467910766601,0.9330444444444445,0.25901029046376545,0.866,0.5814744406806098,0.8321971498737603,0.5218011,CLIP,
6,0.47548738894462583,0.004353814079695277,0.1084008615131714,0.6966,1.0314429756164551,0.613,1.782964370727539,0.9995555555555555,0.004353814079695277,0.9428888888888889,0.20876634168624877,319.09295709468455,0.5484492000000001,DAMP|MASK,
7,0.4889487529277802,0.030151392887036006,0.12200908358490564,0.0894,5.125835535430908,0.098,5.698761169433594,0.9912,0.030151392887036006,0.9314444444444444,0.2833415088653565,176.55600987409107,0.5551318000000001,MASK,selected C*; strongest forgetting
8,0.5826736163139343,0.003310496031244596,0.07994662371357542,0.878,0.35349934248924253,0.774,1.0924053955078126,0.9995111111111111,0.003310496031244596,0.9423333333333334,0.21852602095074125,161.27167649260616,0.5474600000000001,DAMP|MASK,
9,0.5826736163139343,0.003310496031244596,0.07994662371357542,0.878,0.35349934248924253,0.774,1.0924053955078126,0.9995111111111111,0.003310496031244596,0.9423333333333334,0.21852602095074125,161.27167649260616,0.5474600000000001,DAMP|MASK,
