model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.71111111111111,95.5,4.262000000000004,0.0,0.6903555660247803,0.0011243004146549436,0.0,,nan,0.5629694,1.0,0.0009279102610424161,0.955,0.13360820245742797,1.0,0.0011243004146549436,0.9471111111111111,0.20557831700642903,9.139806886291504,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,94.23333333333333,0.0,94.23333333333333,100.0,4.595332985246614e-10,0.0010640874184668064,,1.3182202542545995,-168349.06695578192,0.476387,0.0,10.137729637145997,0.0,9.995116943359376,0.9999555555555556,0.0010640874184668064,0.9423333333333334,0.23824600293901232,0.0,45000,5000,1000,False
best_S,"PURE GRADIENT-FREE (Pareto front member #2, highest selectivity)",DAMP|MASK,94.28888888888889,61.3,36.4898,97.7,0.47548738894462583,0.004353814079695277,0.1084008615131714,,319.09295709468455,0.5484492000000001,0.6966,1.0314429756164551,0.613,1.782964370727539,0.9995555555555555,0.004353814079695277,0.9428888888888889,0.20876634168624877,2.5804254989624025,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),MASK,93.14444444444445,9.8,84.0162888888889,91.10000000000001,0.4889487529277802,0.030151392887036006,0.12200908358490564,,176.55600987409107,0.5551318000000001,0.0894,5.125835535430908,0.098,5.698761169433594,0.9912,0.030151392887036006,0.9314444444444444,0.2833415088653565,3.960510460281372,45000,5000,1000,False
