class_id,class_name,front_position,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,selectivity_S,our_mia_auc,forget_train_acc,forget_test_acc,retain_train_acc,retain_test_acc,W_0_ACC_r,W_0_ACC_f,W_ref_ACC_r,W_ref_ACC_f,front_size,search_evaluated,search_cache_hits,search_failures,search_minutes,results_dir
0,airplane,0,CLIP|DAMP|MASK,92.85555555555555,0.0,92.85555555555555,100.0,0.38922206659317016,0.03921759663687812,0.17953887134927055,221.24977884680635,0.5637129999999999,0.0,0.0,0.9925777777777778,0.9285555555555556,94.67777777777778,95.8,95.15555555555557,0.0,10,233,277,0,15.5,results/search/plan_a_airplane
1,automobile,5,CLIP|MASK|PRUNE,92.67777777777778,12.7,80.9077,91.7,0.36470182390213013,0.027111112670765984,0.12101619302411608,154.56704834819598,0.5187276,0.113,0.127,0.9919555555555556,0.9267777777777778,94.45555555555556,97.8,94.75555555555556,0.0,10,301,209,0,11.9,results/search/plan_a_automobile
2,bird,0,CLIP|MASK|RANDOM_PRUNE,95.12222222222222,17.9,78.09534444444444,91.7,0.28935888960361483,0.004160148262646463,0.18193048844272156,1320.4042219280248,0.584928,0.1952,0.179,0.9995333333333334,0.9512222222222222,95.03333333333333,92.60000000000001,95.25555555555556,0.0,10,280,230,0,8.3,results/search/plan_a_bird
3,cat,0,DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,94.8,9.6,85.6992,95.1,0.44765749216079714,0.020665101255310906,0.13499342610940174,168.68620487446105,0.6293716,0.1278,0.096,0.9978666666666667,0.948,95.27777777777777,90.4,96.12222222222222,0.0,10,319,191,0,10.0,results/search/plan_a_cat
4,deer,2,MASK,94.19999999999999,7.8,86.85239999999999,96.0,0.3622937340736389,0.004741665399405692,0.11759113649242185,1257.1410338310284,0.5522492999999999,0.084,0.078,0.9992,0.942,94.68888888888888,95.7,94.56666666666666,0.0,10,212,298,0,6.4,results/search/plan_a_deer
5,dog,3,MASK,95.62222222222222,3.3000000000000003,92.46668888888888,99.0,0.14029261487722397,0.002299760785036617,0.11255509802669265,4427.913700007842,0.601974,0.0464,0.033,1.0,0.9562222222222222,95.22222222222221,90.9,95.75555555555556,0.0,10,231,279,0,7.0,results/search/plan_a_dog
6,frog,8,DAMP|MASK,92.52222222222221,8.3,84.84287777777777,94.19999999999999,0.3637044870376587,0.01890545732975006,0.1450542156247325,281.7640363277703,0.5236736,0.0724,0.083,0.9943111111111111,0.9252222222222222,94.5111111111111,97.3,94.58888888888889,0.0,10,235,275,0,8.2,results/search/plan_a_frog
7,horse,7,MASK,93.14444444444445,9.8,84.0162888888889,91.10000000000001,0.4889487529277802,0.030151392887036006,0.12200908358490564,176.55600987409107,0.5551318000000001,0.0894,0.098,0.9912,0.9314444444444444,94.71111111111111,95.5,94.23333333333333,0.0,10,213,297,0,7.3,results/search/plan_a_horse
8,ship,6,MASK|RESET,94.57777777777778,14.000000000000002,81.3368888888889,97.0,0.20895153589248658,0.0027177896906932196,0.11278657038198434,2436.5009089343957,0.5406812,0.1552,0.14,0.9997111111111111,0.9457777777777778,94.6,96.5,95.02222222222223,0.0,10,230,280,0,7.8,results/search/plan_a_ship
9,truck,0,CLIP|MASK|QUANTIZE,92.91111111111111,42.1,53.79553333333333,69.6,0.42052216815948484,0.02568710059258673,0.11662304484579722,93.98637857127916,0.5221493,0.422,0.421,0.9924666666666667,0.9291111111111111,94.72222222222221,95.39999999999999,95.14444444444445,0.0,10,257,253,0,8.2,results/search/plan_a_truck
