model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.5111111111111,97.3,2.5518000000000023,0.0,0.690076010131836,0.0011096651716364756,0.0,,nan,0.5478822,1.0,0.001059627470653504,0.973,0.1127412805557251,1.0,0.0011096651716364756,0.9451111111111111,0.20789686595069037,8.947326893615722,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,94.58888888888889,0.0,94.58888888888889,100.0,3.8679944083241934e-10,0.0008926787527071106,,1.3189332851188735,-47001.42264830639,0.49596169999999995,0.0,10.199730012512207,0.0,10.185290649414062,1.0,0.0008926787527071106,0.9458888888888889,0.21908223862118192,0.0,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),DAMP|MASK,92.52222222222221,8.3,84.84287777777777,94.19999999999999,0.3637044870376587,0.01890545732975006,0.1450542156247325,,281.7640363277703,0.5236736,0.0724,5.01527385559082,0.083,5.2857381591796875,0.9943111111111111,0.01890545732975006,0.9252222222222222,0.25965101782480876,2.4616211975097655,45000,5000,1000,False
C_star_refined_bn_frozen,"POST-SEARCH REFINEMENT -- not a Pareto-front member, not part of the evolutionary search",DAMP|MASK + 2 gradient steps,92.55555555555556,2.7,90.05655555555556,96.3,0.3585377628326416,0.02243327834142579,0.14506592313859232,,297.2503980820093,0.5234544999999999,0.0276,6.339512130737305,0.027,6.567111145019531,0.9932888888888889,0.02243327834142579,0.9255555555555556,0.2666121875974867,2.4993033138275145,45000,5000,1000,False
