forget_class,class_name,group,channels,real_sd,null_sd,snr,real_max_abs,null_p99,channels_beyond_noise,pct_beyond_noise
0,airplane,stem,3,0.029989914757028894,0.0008006118316778097,37.458745387487276,0.07987949997186661,0.0067204721365123985,3,100.0
0,airplane,layer1,256,0.09931663016020956,0.06251355465013794,1.5887215295313624,0.9869213104248047,0.026384932361543177,121,47.265625
0,airplane,layer2,512,0.08195106281055162,0.007966002996116025,10.287601304005083,0.38630932569503784,0.013247025115415452,443,86.5234375
0,airplane,layer3,1024,0.1269432103343405,0.032437294275783624,3.913495658887652,1.0,0.015193664254620666,907,88.57421875
0,airplane,layer4,2048,0.30870475469006453,0.008590567621517926,35.935315137594756,0.883514404296875,0.02490920899435877,1943,94.873046875
0,airplane,fc,512,0.4830121661832806,0.008615025133348124,56.066251543895824,0.9210594296455383,0.020752288307994603,506,98.828125
1,automobile,stem,3,0.010729806490847581,0.0008424452736118757,12.736502686809455,0.052020296454429626,0.001142554422840476,3,100.0
1,automobile,layer1,256,0.09358362183408021,0.06273381022166259,1.4917573395177723,1.0,0.03359395582228899,104,40.625
1,automobile,layer2,512,0.08024427134003642,0.057560553883162655,1.3940844193910564,1.0,0.02480840960517525,392,76.5625
1,automobile,layer3,1024,0.12468690927939773,0.03199141247939516,3.8975118513352713,0.945672869682312,0.017798593770712613,875,85.44921875
1,automobile,layer4,2048,0.3139290850212988,0.006679940939719457,46.99578751582243,0.9681260585784912,0.0208723629079759,1944,94.921875
1,automobile,fc,512,0.47600884896465473,0.006410651334570598,74.25280585729111,0.91902756690979,0.017713879719376553,509,99.4140625
2,bird,stem,3,0.00649377246277369,0.00037950104284747456,17.11134286759682,0.05535360053181648,0.0015664839372038842,3,100.0
2,bird,layer1,256,0.07655667044762526,0.06269792979792004,1.2210398444473838,0.8411605954170227,0.025099580734968163,119,46.484375
2,bird,layer2,512,0.079172871256936,0.020546257080027833,3.8533963119685035,1.0,0.013637354699894785,428,83.59375
2,bird,layer3,1024,0.1012603769262409,0.014668429995896131,6.9032866472124885,1.0,0.018650086503475896,820,80.078125
2,bird,layer4,2048,0.3170692338039138,0.007511242821450386,42.21261931493372,0.874906599521637,0.02288871699944138,1924,93.9453125
2,bird,fc,512,0.49034785087243205,0.005538530700375484,88.53392305637828,0.8831918239593506,0.013797606248408551,511,99.8046875
3,cat,stem,3,0.013353766449580747,0.000482551607306678,27.673240016987393,0.023325936868786812,0.005491793286055326,2,66.66666666666667
3,cat,layer1,256,0.07985245766949595,0.06264432680937972,1.2746957583641823,1.0,0.032605323754250994,74,28.90625
3,cat,layer2,512,0.06105961110176173,0.044900551435828454,1.3598855503818854,0.5356698632240295,0.018785087969154086,346,67.578125
3,cat,layer3,1024,0.10120104003657834,0.010007380938073403,10.112639926752037,1.0,0.016811696514487266,856,83.59375
3,cat,layer4,2048,0.29238889032114523,0.007405974529477345,39.480137172680735,0.8837624788284302,0.02063085477799177,1929,94.189453125
3,cat,fc,512,0.5008974256214705,0.00674757432758897,74.23370255788649,0.8694987297058105,0.016441209632903332,510,99.609375
4,deer,stem,3,0.009611311907496983,0.0005535228225280151,17.36389452489203,0.08822038769721985,0.003678940846584737,3,100.0
4,deer,layer1,256,0.10076891398849606,0.06269258847680352,1.6073497112945163,1.0,0.027909417171031216,111,43.359375
4,deer,layer2,512,0.08812733851734164,0.04949733677461468,1.7804460655858727,0.8701854944229126,0.010717864111065848,452,88.28125
4,deer,layer3,1024,0.11800698265462112,0.025722203559404296,4.587747794705426,1.0,0.016294747591018673,903,88.18359375
4,deer,layer4,2048,0.3111169113681319,0.007303581630092835,42.5978550148932,0.936166524887085,0.02357571089640259,1928,94.140625
