epoch,train_loss,train_acc,retain_test_loss,retain_test_acc,forget_test_loss,forget_test_acc,full_test_acc,lr,epoch_time,total_elapsed_time
57,0.104283,0.963844,0.279174,0.913444,10.240102,0.0,0.8221,0.01,71.3,4285.34
58,0.114993,0.9602,0.277307,0.914556,10.679326,0.0,0.8231,0.01,71.36,4356.84
59,0.10479,0.963089,0.267341,0.919556,9.710887,0.0,0.8276,0.01,71.13,4428.1
60,0.109767,0.961311,0.296329,0.911889,9.354791,0.0,0.8207,0.01,71.21,4499.45
61,0.116277,0.959422,0.30204,0.906778,9.385639,0.0,0.8161,0.01,71.35,4570.93
62,0.106557,0.963422,0.283714,0.916222,11.032236,0.0,0.8246,0.01,71.25,4642.33
63,0.106227,0.963578,0.268704,0.915667,9.43729,0.0,0.8241,0.01,71.16,4713.62
64,0.107423,0.962667,0.311701,0.907889,8.815438,0.0,0.8171,0.01,71.24,4785.01
65,0.103719,0.964044,0.303875,0.910444,9.592708,0.0,0.8194,0.01,71.2,4856.35
66,0.110448,0.962,0.344008,0.897889,9.962216,0.0,0.8081,0.01,71.17,4927.65
67,0.111708,0.962444,0.282322,0.910667,9.492607,0.0,0.8196,0.01,71.23,4999.02
68,0.106274,0.963489,0.28626,0.910333,9.635118,0.0,0.8193,0.01,71.17,5070.34
69,0.10828,0.963022,0.289814,0.908667,9.410861,0.0,0.8178,0.01,71.37,5141.84
70,0.112928,0.961178,0.27042,0.915556,9.499904,0.0,0.824,0.01,71.37,5213.34
71,0.098514,0.965733,0.284701,0.915333,9.04618,0.0,0.8238,0.01,71.3,5284.78
72,0.099426,0.965244,0.285709,0.914778,9.841202,0.0,0.8233,0.01,71.36,5356.29
73,0.103692,0.963911,0.328924,0.901111,9.038361,0.0,0.811,0.01,71.36,5427.79
74,0.102416,0.965067,0.297303,0.910222,9.604031,0.0,0.8192,0.01,71.73,5499.66
75,0.103139,0.964956,0.293237,0.911444,8.947915,0.0,0.8203,0.01,71.42,5571.21
76,0.102845,0.965689,0.287059,0.913111,9.04612,0.0,0.8218,0.01,71.67,5643.02
77,0.098023,0.966467,0.293779,0.912778,9.654795,0.0,0.8215,0.01,71.76,5714.93
78,0.097876,0.966244,0.286142,0.912222,9.240781,0.0,0.821,0.01,71.46,5786.53
79,0.100051,0.965911,0.309146,0.909444,10.12801,0.0,0.8185,0.01,71.38,5858.06
80,0.09796,0.9656,0.297222,0.909889,9.607948,0.0,0.8189,0.01,71.32,5929.53
81,0.046975,0.985356,0.208798,0.934556,9.920189,0.0,0.8411,0.001,71.36,6001.05
82,0.028196,0.992267,0.208978,0.937667,10.125253,0.0,0.8439,0.001,71.67,6073.01
83,0.021679,0.994133,0.204936,0.938444,10.031023,0.0,0.8446,0.001,71.42,6144.71
84,0.018516,0.995356,0.207265,0.939,10.47106,0.0,0.8451,0.001,71.38,6216.38
85,0.017018,0.995778,0.206508,0.939333,10.31981,0.0,0.8454,0.001,71.4,6288.06
86,0.014706,0.9964,0.211044,0.940222,10.28334,0.0,0.8462,0.001,71.67,6360.03
87,0.013101,0.996933,0.211607,0.941778,10.853882,0.0,0.8476,0.001,71.67,6431.97
88,0.012599,0.996911,0.21355,0.939778,10.973356,0.0,0.8458,0.001,71.33,6503.58
89,0.0116,0.997467,0.210784,0.94,10.615774,0.0,0.846,0.001,71.4,6575.11
90,0.010271,0.997978,0.215805,0.939556,10.674706,0.0,0.8456,0.001,71.52,6646.77
91,0.009485,0.998289,0.215419,0.940333,10.615899,0.0,0.8463,0.001,71.41,6718.32
92,0.009249,0.998178,0.21373,0.942,10.755499,0.0,0.8478,0.001,71.46,6789.92
93,0.009882,0.997733,0.222043,0.941,11.027855,0.0,0.8469,0.001,71.35,6861.56
94,0.008115,0.998356,0.221359,0.940556,10.650902,0.0,0.8465,0.001,71.54,6933.23
95,0.007684,0.998356,0.221176,0.942222,10.80169,0.0,0.848,0.001,71.33,7004.71
96,0.007711,0.998467,0.216553,0.941,10.682717,0.0,0.8469,0.001,71.34,7076.32
97,0.007988,0.998289,0.219392,0.940222,11.091214,0.0,0.8462,0.001,71.45,7147.91
98,0.00694,0.998556,0.217033,0.942111,10.63273,0.0,0.8479,0.001,71.37,7219.42
99,0.006901,0.998667,0.220415,0.941556,10.684913,0.0,0.8474,0.001,71.4,7290.96
100,0.006532,0.998578,0.219646,0.941667,10.654153,0.0,0.8475,0.001,71.42,7362.52
101,0.005803,0.998956,0.214263,0.941778,10.543978,0.0,0.8476,0.001,71.61,7434.27
102,0.006291,0.998644,0.216601,0.942,10.552819,0.0,0.8478,0.001,72.21,7506.61
103,0.005306,0.999022,0.217268,0.942222,10.683327,0.0,0.848,0.001,71.44,7578.2
104,0.004967,0.999289,0.220788,0.941667,10.673585,0.0,0.8475,0.001,71.46,7649.92
105,0.005677,0.999044,0.220886,0.941111,10.308478,0.0,0.847,0.001,71.33,7721.41
106,0.004788,0.999267,0.2212,0.941667,10.671306,0.0,0.8475,0.001,71.4,7792.95
107,0.005208,0.998933,0.223586,0.942778,10.643583,0.0,0.8485,0.001,71.42,7864.51
108,0.005284,0.999044,0.222023,0.943111,10.660641,0.0,0.8488,0.001,71.62,7936.4
109,0.005122,0.999267,0.225679,0.941556,10.974764,0.0,0.8474,0.001,71.37,8008.04
110,0.004774,0.9992,0.227556,0.940778,10.783127,0.0,0.8467,0.001,71.37,8079.56
111,0.005201,0.999133,0.225001,0.941667,10.286879,0.0,0.8475,0.001,71.49,8151.19
112,0.004676,0.999178,0.220796,0.940667,10.536656,0.0,0.8466,0.001,71.44,8222.76
113,0.004498,0.999244,0.223227,0.942667,10.580749,0.0,0.8484,0.001,71.38,8294.29
114,0.004322,0.999378,0.222403,0.942778,10.459011,0.0,0.8485,0.001,71.78,8366.2
115,0.005623,0.998978,0.227895,0.941778,10.235343,0.0,0.8476,0.001,71.47,8437.81
116,0.004369,0.999289,0.224343,0.942667,10.212423,0.0,0.8484,0.001,71.42,8509.37
117,0.004609,0.999178,0.225789,0.942222,10.316001,0.0,0.848,0.001,71.43,8580.94
118,0.004344,0.999356,0.225476,0.942778,10.308647,0.0,0.8485,0.001,71.38,8652.46
119,0.004599,0.9992,0.223572,0.943333,10.325368,0.0,0.849,0.001,71.53,8724.13
120,0.004178,0.999267,0.225796,0.943222,10.21034,0.0,0.8489,0.001,71.4,8795.81
121,0.004308,0.999089,0.224365,0.943222,10.249348,0.0,0.8489,0.0001,71.51,8867.46
122,0.003515,0.999511,0.225699,0.944778,10.455675,0.0,0.8503,0.0001,71.49,8939.08
123,0.003387,0.999556,0.222624,0.943111,10.134154,0.0,0.8488,0.0001,71.49,9010.86
124,0.003697,0.999489,0.222401,0.943667,10.153045,0.0,0.8493,0.0001,71.41,9082.43
125,0.003591,0.999467,0.220408,0.944556,9.928594,0.0,0.8501,0.0001,71.43,9154.0
126,0.003474,0.999578,0.22285,0.943778,10.253044,0.0,0.8494,0.0001,71.57,9225.71
127,0.003342,0.999622,0.221356,0.944,10.472628,0.0,0.8496,0.0001,71.4,9297.25
128,0.003465,0.999644,0.221963,0.944,10.009419,0.0,0.8496,0.0001,71.48,9368.87
129,0.003367,0.999511,0.219817,0.944111,10.242449,0.0,0.8497,0.0001,71.4,9440.41
130,0.003215,0.999756,0.221239,0.944333,9.976464,0.0,0.8499,0.0001,71.37,9511.92
131,0.003385,0.999556,0.223816,0.943889,10.184319,0.0,0.8495,0.0001,71.37,9583.43
132,0.003114,0.999711,0.218777,0.943111,10.050816,0.0,0.8488,0.0001,71.54,9655.11
133,0.003052,0.999733,0.226704,0.943778,10.110094,0.0,0.8494,0.0001,71.41,9726.67
134,0.003553,0.999467,0.22138,0.943667,10.228447,0.0,0.8493,0.0001,71.42,9798.22
135,0.003154,0.999711,0.220634,0.943556,10.135243,0.0,0.8492,0.0001,71.41,9869.77
136,0.002902,0.999711,0.223356,0.943778,10.259804,0.0,0.8494,0.0001,71.44,9941.35
137,0.003256,0.9996,0.216651,0.943889,10.200933,0.0,0.8495,0.0001,71.56,10013.04
138,0.003216,0.999644,0.222379,0.943,10.444159,0.0,0.8487,0.0001,71.54,10084.72
139,0.003049,0.999644,0.224199,0.942889,9.970956,0.0,0.8486,0.0001,71.35,10156.21
140,0.003299,0.999622,0.224061,0.943111,10.144949,0.0,0.8488,0.0001,71.39,10227.75
141,0.002884,0.999778,0.219996,0.942667,10.245045,0.0,0.8484,0.0001,71.37,10299.26
142,0.003073,0.999667,0.227583,0.943222,10.102386,0.0,0.8489,0.0001,71.43,10370.84
143,0.002931,0.999622,0.226701,0.942,10.043224,0.0,0.8478,0.0001,71.42,10442.4
144,0.002995,0.999756,0.223936,0.943667,10.2734,0.0,0.8493,0.0001,71.59,10514.12
145,0.003057,0.999644,0.221264,0.943667,10.266922,0.0,0.8493,0.0001,71.44,10585.72
146,0.003084,0.999689,0.220985,0.943667,10.179688,0.0,0.8493,0.0001,71.42,10657.27
147,0.00328,0.9996,0.220367,0.944222,10.177976,0.0,0.8498,0.0001,71.45,10728.86
148,0.002804,0.999756,0.218557,0.944111,10.235705,0.0,0.8497,0.0001,71.51,10800.52
149,0.003188,0.999689,0.22294,0.943889,10.292112,0.0,0.8495,0.0001,71.48,10872.14
150,0.002914,0.999733,0.219032,0.943889,10.187809,0.0,0.8495,0.0001,71.42,10943.69
151,0.003131,0.999489,0.219448,0.944889,10.109127,0.0,0.8504,0.0001,71.63,11015.46
152,0.003059,0.999644,0.223974,0.943889,10.156628,0.0,0.8495,0.0001,71.43,11087.17
153,0.002754,0.999733,0.218909,0.944333,10.084471,0.0,0.8499,0.0001,71.55,11158.86
154,0.003077,0.999578,0.218101,0.943667,10.424875,0.0,0.8493,0.0001,71.45,11230.45
155,0.003211,0.999578,0.218663,0.943333,10.15006,0.0,0.849,0.0001,71.57,11302.18
156,0.002858,0.999756,0.223046,0.943667,10.127162,0.0,0.8493,0.0001,71.34,11373.66
157,0.003145,0.999733,0.221655,0.943111,10.239879,0.0,0.8488,0.0001,71.44,11445.24
158,0.002734,0.9998,0.222671,0.943556,10.409552,0.0,0.8492,0.0001,71.38,11516.76
159,0.002949,0.999689,0.219615,0.944111,9.905298,0.0,0.8497,0.0001,71.4,11588.3
160,0.003108,0.9996,0.219448,0.945,10.404456,0.0,0.8505,0.0001,71.38,11659.82
161,0.002926,0.999844,0.220851,0.944556,10.125602,0.0,0.8501,1e-05,71.52,11731.63
162,0.003031,0.999644,0.221309,0.945,10.192003,0.0,0.8505,1e-05,71.38,11803.15
163,0.003002,0.999667,0.219082,0.945889,10.185291,0.0,0.8513,1e-05,71.45,11874.73
164,0.003014,0.999822,0.222971,0.944222,10.519806,0.0,0.8498,1e-05,71.41,11946.43
165,0.002994,0.999667,0.219698,0.944556,10.421543,0.0,0.8501,1e-05,71.47,12018.05
166,0.002854,0.999822,0.224295,0.944111,10.401689,0.0,0.8497,1e-05,71.37,12089.56
167,0.003139,0.999511,0.219986,0.943889,10.139443,0.0,0.8495,1e-05,71.31,12161.01
168,0.002951,0.999778,0.220717,0.943444,10.24707,0.0,0.8491,1e-05,71.35,12232.5
169,0.003171,0.999667,0.21931,0.945556,10.360339,0.0,0.851,1e-05,72.13,12304.77
170,0.002935,0.999733,0.22156,0.943889,10.003987,0.0,0.8495,1e-05,71.49,12376.4
171,0.002917,0.999667,0.222732,0.944444,10.074093,0.0,0.85,1e-05,71.47,12448.01
172,0.003016,0.999644,0.220617,0.945,10.293856,0.0,0.8505,1e-05,71.51,12519.66
173,0.002736,0.999689,0.224126,0.943556,9.950541,0.0,0.8492,1e-05,71.44,12591.25
174,0.002649,0.999733,0.221949,0.944333,10.110427,0.0,0.8499,1e-05,71.35,12662.73
175,0.002965,0.999711,0.222828,0.943333,10.067077,0.0,0.849,1e-05,71.67,12734.54
176,0.002859,0.9996,0.221268,0.943667,10.233973,0.0,0.8493,1e-05,71.44,12806.13
177,0.00296,0.999756,0.219181,0.944333,10.20714,0.0,0.8499,1e-05,71.25,12877.52
178,0.002911,0.999689,0.219263,0.944889,10.327211,0.0,0.8504,1e-05,71.57,12949.23
179,0.002729,0.999711,0.220083,0.943778,10.113871,0.0,0.8494,1e-05,71.37,13020.73
180,0.003068,0.999667,0.218869,0.944222,10.331289,0.0,0.8498,1e-05,71.36,13092.23
181,0.003024,0.999733,0.219321,0.944889,10.08998,0.0,0.8504,1e-05,71.46,13163.83
182,0.002892,0.999756,0.222586,0.943667,10.346712,0.0,0.8493,1e-05,71.3,13235.27
183,0.002771,0.999756,0.219203,0.944333,10.270843,0.0,0.8499,1e-05,71.37,13306.77
184,0.003086,0.999644,0.220148,0.945,9.982065,0.0,0.8505,1e-05,71.32,13378.23
185,0.002789,0.999822,0.219162,0.943556,10.316089,0.0,0.8492,1e-05,71.49,13449.86
186,0.002703,0.9998,0.22324,0.943889,10.247808,0.0,0.8495,1e-05,71.41,13521.41
187,0.002817,0.999711,0.22546,0.943111,10.365032,0.0,0.8488,1e-05,71.4,13592.95
188,0.002991,0.999689,0.222781,0.942778,10.343614,0.0,0.8485,1e-05,71.46,13664.55
189,0.002887,0.999756,0.220819,0.945111,10.160274,0.0,0.8506,1e-05,71.33,13736.02
190,0.002945,0.999689,0.220312,0.944333,10.422373,0.0,0.8499,1e-05,71.44,13807.6
191,0.003075,0.999667,0.218448,0.944556,10.320154,0.0,0.8501,1e-05,71.33,13879.09
192,0.002722,0.999733,0.220246,0.943667,10.033494,0.0,0.8493,1e-05,71.78,13951.01
193,0.002895,0.999667,0.219625,0.945111,10.228836,0.0,0.8506,1e-05,71.33,14022.48
194,0.002847,0.999733,0.219657,0.944444,10.303534,0.0,0.85,1e-05,71.32,14093.95
195,0.002924,0.999644,0.2213,0.943333,10.297595,0.0,0.849,1e-05,71.5,14165.61
196,0.002737,0.999733,0.219737,0.944,10.26114,0.0,0.8496,1e-05,71.36,14237.11
197,0.003044,0.999778,0.222342,0.944333,9.899779,0.0,0.8499,1e-05,71.27,14308.53
198,0.002914,0.999667,0.217725,0.944778,9.911974,0.0,0.8503,1e-05,71.29,14379.96
199,0.003171,0.999578,0.2177,0.945333,10.084562,0.0,0.8508,1e-05,71.31,14451.41
200,0.002814,0.999756,0.216767,0.944444,10.044186,0.0,0.85,1e-05,75.3,14526.85
