model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.67777777777778,95.8,3.97646666666667,0.0,0.6898084545135498,0.001118123671743605,0.0,,nan,0.5961305,1.0,0.000983500912040472,0.958,0.14749303197860716,1.0,0.001118123671743605,0.9467777777777778,0.20403556050194635,9.071965112304687,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,95.15555555555557,0.0,95.15555555555557,100.0,5.618421567987753e-10,0.0009049953815837701,,1.3174967983984183,-46040.737719949575,0.5201587,0.0,9.813567208862304,0.0,9.966290283203126,1.0,0.0009049953815837701,0.9515555555555556,0.19733893044789633,0.0,45000,5000,1000,False
best_S,"PURE GRADIENT-FREE (Pareto front member #6, highest selectivity)",DAMP|MASK,94.69999999999999,25.7,70.36209999999998,93.30000000000001,0.3800380633354187,0.004460233821471532,0.1138156369819019,,802.844099871262,0.5736074,0.3008,2.684176915740967,0.257,3.4995404663085936,0.9998,0.004460233821471532,0.947,0.18109076839023167,2.1977463317871093,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),CLIP|DAMP|MASK,92.85555555555555,0.0,92.85555555555555,100.0,0.38922206659317016,0.03921759663687812,0.17953887134927055,,221.24977884680635,0.5637129999999999,0.0,8.43048346862793,0.0,8.694500366210937,0.9925777777777778,0.03921759663687812,0.9285555555555556,0.24652090040842692,2.2814119232177736,45000,5000,1000,False
front_7,PURE GRADIENT-FREE (Pareto front member #7),DAMP|MASK|RESET,94.38888888888889,10.9,84.1005,98.0,0.35002863931655886,0.009645386754141913,0.14619516733150265,,439.6916189589782,0.5726778,0.1298,3.7503496109008787,0.109,4.446426788330078,0.9990888888888889,0.009645386754141913,0.9438888888888889,0.20000483809577094,1.8367939765930177,45000,5000,1000,False
