front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.6889568710327149,0.0010763668421241972,0.0,1.0,0.001359312398545444,0.957,0.1719566822052002,1.0,0.0010763668421241972,0.9468888888888889,0.20131737603081598,nan,0.5924693999999998,,
1,0.6889568710327149,0.0010763668421241972,0.0,1.0,0.001359312398545444,0.957,0.1719566822052002,1.0,0.0010763668421241972,0.9468888888888889,0.20131737603081598,nan,0.5924693999999998,,
2,0.3622937340736389,0.004741665399405692,0.11759113649242185,0.084,4.60915652999878,0.078,5.187960174560547,0.9992,0.004741665399405692,0.942,0.21624107329050699,1257.1410338310284,0.5522492999999999,MASK,selected C*; strongest forgetting
3,0.5444440511703491,0.020437820013364156,0.1049934270774613,0.7714,0.7250543166160583,0.657,1.4599221649169922,0.9937777777777778,0.020437820013364156,0.9312222222222222,0.25324589676327175,37.37813467909059,0.5587512,CLIP|DAMP|PRUNE|RANDOM_PRUNE,
4,0.3734489818572998,0.0031585379247036243,0.15410348726771023,0.0884,4.956348126220703,0.08,5.7196611328125,0.9994444444444445,0.0031585379247036243,0.9427777777777778,0.23357564364539252,2379.7222309339913,0.5573488,MASK|QUANTIZE,best selectivity
5,0.3622937340736389,0.004741665399405692,0.11759113649242185,0.084,4.60915652999878,0.078,5.187960174560547,0.9992,0.004741665399405692,0.942,0.21624107329050699,1257.1410338310284,0.5522492999999999,MASK,
6,0.6185836715698242,0.005837894506586922,0.07024180042365183,0.9322,0.19601452922821044,0.796,0.833195213317871,0.9987777777777778,0.005837894506586922,0.9407777777777778,0.21331507756974963,40.880832906308285,0.556655,CLIP,
7,0.5444440511703491,0.020437820013364156,0.1049934270774613,0.7714,0.7250543166160583,0.657,1.4599221649169922,0.9937777777777778,0.020437820013364156,0.9312222222222222,0.25324589676327175,37.37813467909059,0.5587512,CLIP|DAMP|PRUNE|RANDOM_PRUNE,
8,0.5886225595474243,0.002815881689389547,0.09636101892004387,0.9928,0.1455326244354248,0.891,0.5052633094787597,1.0,0.002815881689389547,0.9494444444444444,0.17402038786146376,82.88133456493966,0.5874189,MASK,
9,0.3622937340736389,0.004741665399405692,0.11759113649242185,0.084,4.60915652999878,0.078,5.187960174560547,0.9992,0.004741665399405692,0.942,0.21624107329050699,1257.1410338310284,0.5522492999999999,MASK,
