model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.6,96.5,3.3110000000000026,0.0,0.6906053693771362,0.0011417572518189747,0.0,,nan,0.5336339,1.0,0.0007707987274974585,0.965,0.13434823656082154,1.0,0.0011417572518189747,0.946,0.2054960947036743,9.424401962280273,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,95.02222222222223,0.0,95.02222222222223,100.0,5.504821139368233e-10,0.0011231048088934687,,1.3362760887689924,-552265.072440549,0.5074904,0.0,10.301863542175292,0.0,10.36017529296875,1.0,0.0011231048088934687,0.9502222222222222,0.19860945998297796,0.0,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),MASK|RESET,94.57777777777778,14.000000000000002,81.3368888888889,97.0,0.20895153589248658,0.0027177896906932196,0.11278657038198434,,2436.5009089343957,0.5406812,0.1552,3.8407752685546876,0.14,4.400443542480469,0.9997111111111111,0.0027177896906932196,0.9457777777777778,0.20595943864186605,1.013451261138916,45000,5000,1000,False
front_1,PURE GRADIENT-FREE (Pareto front member #1),CLIP|MASK|RANDOM_PRUNE,88.73333333333333,12.5,77.64166666666667,79.3,0.3053325985908508,0.19502063442866008,0.1859909349739744,,22.46190951601447,0.5316315,0.1244,4.355660594940185,0.125,4.7451006774902345,0.9461777777777778,0.19502063442866008,0.8873333333333333,0.4701642714606391,1.6098075496673585,45000,5000,1000,False
C_star_refined_bn_frozen,"POST-SEARCH REFINEMENT -- not a Pareto-front member, not part of the evolutionary search",DAMP|MASK + 2 gradient steps,94.4888888888889,4.7,90.0479111111111,99.1,0.16310401439666747,0.002990960677133666,0.1128027971810787,,2832.9040907761523,0.540831,0.059,5.239386746978759,0.047,5.76138232421875,0.9996888888888888,0.002990960677133666,0.9448888888888889,0.20707519054412843,0.8090068711280822,45000,5000,1000,False
