front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.42052216815948484,0.02568710059258673,0.11662304484579722,0.422,2.3085049964904787,0.421,2.8094334716796876,0.9924666666666667,0.02568710059258673,0.9291111111111111,0.2704656385845608,93.98637857127916,0.5221493,CLIP|MASK|QUANTIZE,selected C*; strongest forgetting
1,0.6575215682983399,0.06451941399044461,0.06272370925940687,0.9436,0.1616771030947566,0.859,0.5385949935913086,0.9797555555555556,0.06451941399044461,0.9145555555555556,0.3588003749847412,2.5374238765351573,0.5207021000000001,DAMP,
2,0.446823158454895,0.003515141303009457,0.16223404481755557,0.5108,1.6208107634544373,0.495,2.2192178344726563,0.9996888888888888,0.003515141303009457,0.9451111111111111,0.19944961219363744,680.3127491972512,0.5322138,MASK|QUANTIZE|RESET,
3,0.6902259383201599,0.0011339283875293202,0.0,1.0,0.0008412585001438856,0.954,0.1702044744491577,1.0,0.0011339283875293202,0.9472222222222222,0.20151206747690836,nan,0.5577039,,
4,0.6902259383201599,0.0011339283875293202,0.0,1.0,0.0008412585001438856,0.954,0.1702044744491577,1.0,0.0011339283875293202,0.9472222222222222,0.20151206747690836,nan,0.5577039,,
5,0.6575215682983399,0.06451941399044461,0.06272370925940687,0.9436,0.1616771030947566,0.859,0.5385949935913086,0.9797555555555556,0.06451941399044461,0.9145555555555556,0.3588003749847412,2.5374238765351573,0.5207021000000001,DAMP,
6,0.6575215682983399,0.06451941399044461,0.06272370925940687,0.9436,0.1616771030947566,0.859,0.5385949935913086,0.9797555555555556,0.06451941399044461,0.9145555555555556,0.3588003749847412,2.5374238765351573,0.5207021000000001,DAMP,
7,0.446823158454895,0.003515141303009457,0.16223404481755557,0.5108,1.6208107634544373,0.495,2.2192178344726563,0.9996888888888888,0.003515141303009457,0.9451111111111111,0.19944961219363744,680.3127491972512,0.5322138,MASK|QUANTIZE|RESET,
8,0.449527960395813,0.002295746272140079,0.10627046629178424,0.543,1.5341665241241456,0.53,2.1926121368408205,0.9998888888888889,0.002295746272140079,0.947,0.19299153253767226,1319.7638682741642,0.5296727,MASK,best selectivity
9,0.6043561595916748,0.004477560186386108,0.09510669246917954,0.9152,0.22758660020828247,0.804,0.8445831909179687,0.9996888888888888,0.004477560186386108,0.943,0.20104944864908855,67.81408819764918,0.5213597,DAMP|PRUNE|RANDOM_PRUNE,
