model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.72222222222221,95.39999999999999,4.357222222222226,0.0,0.6902259383201599,0.0011339283875293202,0.0,,nan,0.5577039,1.0,0.0008412585001438856,0.954,0.1702044744491577,1.0,0.0011339283875293202,0.9472222222222222,0.20151206747690836,8.85000341796875,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,95.14444444444445,0.0,95.14444444444445,100.0,5.870199924373765e-10,0.0010842290881607267,,1.325313119548312,-202391.00348723438,0.5204803,0.0,10.059532330322266,0.0,10.176554321289062,0.9999777777777777,0.0010842290881607267,0.9514444444444444,0.1996559649573432,0.0,45000,5000,1000,False
best_S,"PURE GRADIENT-FREE (Pareto front member #8, highest selectivity)",MASK,94.69999999999999,53.0,44.50899999999999,76.4,0.449527960395813,0.002295746272140079,0.10627046629178424,,1319.7638682741642,0.5296727,0.543,1.5341665241241456,0.53,2.1926121368408205,0.9998888888888889,0.002295746272140079,0.947,0.19299153253767226,3.0546529121398924,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),CLIP|MASK|QUANTIZE,92.91111111111111,42.1,53.79553333333333,69.6,0.42052216815948484,0.02568710059258673,0.11662304484579722,,93.98637857127916,0.5221493,0.422,2.3085049964904787,0.421,2.8094334716796876,0.9924666666666667,0.02568710059258673,0.9291111111111111,0.2704656385845608,2.732831187438965,45000,5000,1000,False
C_star_refined_bn_frozen,"POST-SEARCH REFINEMENT -- HYBRID, not pure gradient-free; not a Pareto-front member",pure C* + 1 forget step + 1 retain repair (BN frozen),92.67777777777778,30.9,64.04034444444444,79.10000000000001,0.38744355211257936,0.030116976441939673,0.11663303382786347,,107.42078992878463,0.5224636,0.302,3.1142231750488283,0.309,3.555809661865234,0.9912666666666666,0.030116976441939673,0.9267777777777778,0.27894390662511187,2.4110186141967773,45000,5000,1000,False
