model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,95.03333333333333,92.60000000000001,7.032466666666663,0.0,0.6894400379180908,0.001073127775390943,0.0,,nan,0.6179992000000001,1.0,0.0013884639907628298,0.926,0.2658334264755249,1.0,0.001073127775390943,0.9503333333333334,0.19088662623034583,8.889956854248046,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,95.25555555555556,0.0,95.25555555555556,100.0,6.405060311465149e-10,0.0008563405666086409,,1.2933569831049418,-46313.41618029328,0.5266964,0.0,10.04154468688965,0.0,10.220414916992187,0.9999777777777777,0.0008563405666086409,0.9525555555555556,0.19506927018695408,0.0,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),CLIP|MASK|RANDOM_PRUNE,95.12222222222222,17.9,78.09534444444444,91.7,0.28935888960361483,0.004160148262646463,0.18193048844272156,,1320.4042219280248,0.584928,0.1952,4.07750334854126,0.179,5.166518615722656,0.9995333333333334,0.004160148262646463,0.9512222222222222,0.18383251127269534,1.7184587788581849,45000,5000,1000,False
