front_position,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,selectivity_S,mia_auc,operators,role
0,0.28935888960361483,0.004160148262646463,0.18193048844272156,0.1952,4.07750334854126,0.179,5.166518615722656,0.9995333333333334,0.004160148262646463,0.9512222222222222,0.18383251127269534,1320.4042219280248,0.584928,CLIP|MASK|RANDOM_PRUNE,selected C*; best selectivity; strongest forgetting
1,0.5766227340221405,0.0035948552118407356,0.09602407834649929,0.855,0.4023687222480774,0.686,1.5371528625488282,0.9995777777777778,0.0035948552118407356,0.9486666666666667,0.18492185704575645,159.0101501301955,0.5866644000000001,DAMP|PRUNE|RANDOM_PRUNE,
2,0.5985454410552978,0.0021217165547940467,0.0823614940302447,0.9018,0.25898299708366396,0.703,1.3676956024169922,1.0,0.0021217165547940467,0.952,0.17213405316405825,245.65829632425942,0.5909120000000001,DAMP|MASK|PRUNE,
3,0.6305970144271851,0.0024870621532201765,0.0753117503559887,0.9456,0.1501078696846962,0.751,1.0545680847167969,0.9997333333333334,0.0024870621532201765,0.947,0.19666284837987688,105.18126443905926,0.5893878,CLIP,
4,0.6813158115386962,0.010021701345013248,0.055656369828896705,0.993,0.02057300501540303,0.912,0.33696728324890135,0.9971333333333333,0.010021701345013248,0.94,0.23452214913898045,2.143865821226067,0.5962843,MASK,
5,0.6811048023223877,0.010080837513506413,0.060726372622750754,0.9924,0.021783796194195747,0.91,0.3382952060699463,0.997,0.010080837513506413,0.9398888888888889,0.2346146287123362,2.2642084166113334,0.5962085,MASK|QUANTIZE,
6,0.6883104177474976,0.001155208523074786,0.009706950443935242,1.0,0.0020426885791122915,0.923,0.2822564010620117,1.0,0.001155208523074786,0.9503333333333334,0.18710395820273293,7.970499865198487,0.6177944,DAMP,
7,0.6894400379180908,0.001073127775390943,0.0,1.0,0.0013884639907628298,0.926,0.2658334264755249,1.0,0.001073127775390943,0.9503333333333334,0.19088662623034583,nan,0.6179992000000001,,
8,0.6894400379180908,0.001073127775390943,0.0,1.0,0.0013884639907628298,0.926,0.2658334264755249,1.0,0.001073127775390943,0.9503333333333334,0.19088662623034583,nan,0.6179992000000001,,
9,0.6802190238952637,0.0017422266950209936,0.0792955448465202,0.9998,0.007853468704223633,0.906,0.3326678695678711,1.0,0.0017422266950209936,0.9512222222222222,0.17317016553878783,9.662255495847084,0.6163542,MASK|PRUNE,
