model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,95.22222222222221,90.9,8.66522222222222,0.0,0.689304368686676,0.0010443345942431027,0.0,,nan,0.6271434000000001,1.0,0.0016476026266813279,0.909,0.37551277923583987,1.0,0.0010443345942431027,0.9522222222222222,0.1787000315454271,8.778615721130372,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,95.75555555555556,0.0,95.75555555555556,100.0,5.382764499017867e-10,0.0011153310487667719,,1.2999066199496443,156883.44562734492,0.4890938,0.0,11.139816015625,0.0,11.06705078125,1.0,0.0011153310487667719,0.9575555555555556,0.16644204303953383,0.0,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),MASK,95.62222222222222,3.3000000000000003,92.46668888888888,99.0,0.14029261487722397,0.002299760785036617,0.11255509802669265,,4427.913700007842,0.601974,0.0464,5.560566432189941,0.033,6.569080200195312,1.0,0.002299760785036617,0.9562222222222222,0.15504744137658014,0.7335148002624512,45000,5000,1000,False
C_star_refined_bn_frozen,"POST-SEARCH REFINEMENT -- HYBRID, not pure gradient-free; not a Pareto-front member",pure C* + 1 forget step + 1 retain repair (BN frozen),95.56666666666666,1.9,93.7509,99.5,0.1267153344511986,0.00237655942009555,0.11256864991192107,,4950.8140597618085,0.599109,0.0252,6.597245001220704,0.019,7.537350219726562,1.0,0.00237655942009555,0.9556666666666667,0.15531936550140382,0.7038221981048584,45000,5000,1000,False
