model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,95.27777777777777,90.4,9.146666666666663,0.0,0.6898261568069458,0.0010894357237550948,0.0,,nan,0.6692743,1.0,0.0012416925048455596,0.904,0.3845863513946533,1.0,0.0010894357237550948,0.9527777777777777,0.17769186152352226,9.087562432861327,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,96.12222222222222,0.0,96.12222222222222,100.0,7.580979257681975e-11,0.0009197825740608904,,1.2835003062406685,-61700.84109733714,0.4928761,0.0,10.468983723449707,0.0,10.425383178710938,1.0,0.0009197825740608904,0.9612222222222222,0.15297071788046096,0.0,45000,5000,1000,False
best_S,"PURE GRADIENT-FREE (Pareto front member #1, highest selectivity)",MASK,95.58888888888889,36.5,60.69894444444444,84.6,0.47641752152442934,0.004037168803811073,0.1140434084855264,,497.62894532703297,0.6376935,0.5336,1.4681189962387085,0.365,2.9216636657714843,0.9997111111111111,0.004037168803811073,0.9558888888888889,0.150240162147416,3.226507289505005,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),DAMP|MASK|PRUNE|RANDOM_PRUNE|RESET,94.8,9.6,85.6992,95.1,0.44765749216079714,0.020665101255310906,0.13499342610940174,,168.68620487446105,0.6293716,0.1278,3.303386418914795,0.096,4.304966979980469,0.9978666666666667,0.020665101255310906,0.948,0.16956545363532172,2.781703572845459,45000,5000,1000,False
C_star_refined_bn_frozen,"POST-SEARCH REFINEMENT -- HYBRID, not pure gradient-free; not a Pareto-front member",pure C* + 1 forget step + 1 retain repair (BN frozen),94.55555555555556,6.0,88.88222222222223,96.7,0.45184426665306093,0.0244906227906545,0.13500262695117163,,172.64210869927916,0.6252464,0.0654,4.041271973800659,0.06,4.968404541015625,0.9968,0.0244906227906545,0.9455555555555556,0.17721114301681518,2.9066197368621824,45000,5000,1000,False
