model,kind,operators,anchor_ACC_r,anchor_ACC_f,anchor_composite,anchor_MIA,f1_js,f2_retain_train_loss,f3_edit_cost,distance_from_W0_not_an_edit,selectivity_S,mia_auc,forget_train_acc,forget_train_loss,forget_test_acc,forget_test_loss,retain_train_acc,retain_train_loss,retain_test_acc,retain_test_loss,kl_to_reference,n_shadow_member,n_shadow_nonmember,n_target_nonmember,subsampled
W_0,baseline (original model),,94.45555555555556,97.8,2.0780222222222244,0.0,0.6910932940483093,0.0011355741456151008,0.0,,nan,0.5366823000000001,1.0,0.0008264466291293502,0.978,0.08752861154079437,1.0,0.0011355741456151008,0.9445555555555556,0.2106982723871867,9.033997424316405,45000,5000,1000,False
W_ref,"baseline (retain-only reference, gold standard)",,94.75555555555556,0.0,94.75555555555556,100.0,1.3877160846220704e-09,0.0007772765845888191,,1.327466421145992,-32485.768653295505,0.48201720000000003,0.0,11.640398123168945,0.0,11.518738647460937,1.0,0.0007772765845888191,0.9475555555555556,0.21133465894063314,0.0,45000,5000,1000,False
best_S,"PURE GRADIENT-FREE (Pareto front member #7, highest selectivity)",MASK,94.43333333333334,17.2,78.19080000000001,96.3,0.3389765534877777,0.0033088041063812045,0.11748840303119223,,1639.8010747501703,0.5263338,0.157,3.5644912719726562,0.172,3.908964813232422,0.9997777777777778,0.0033088041063812045,0.9443333333333334,0.19730102470186023,1.7919995582580566,45000,5000,1000,False
C_star,PURE GRADIENT-FREE (Pareto front member),CLIP|MASK|PRUNE,92.67777777777778,12.7,80.9077,91.7,0.36470182390213013,0.027111112670765984,0.12101619302411608,,154.56704834819598,0.5187276,0.113,4.015788765716553,0.127,4.253208862304687,0.9919555555555556,0.027111112670765984,0.9267777777777778,0.26883801725175643,2.0304081604003907,45000,5000,1000,False
