status,canonical_action_key,operator_names_used,checkpoint_path,reference_path,forget_class,seed,device,obj1_js,obj2_retain_loss,obj3_edit_cost,forget_train_acc,forget_train_loss,retain_train_acc,retain_train_loss,forget_test_acc,forget_test_loss,retain_test_acc,retain_test_loss,kl_to_reference,selectivity_S,mia_auc,runtime_seconds,error,operators,chromosome,front_position,gap_forget_train_acc,gap_forget_train_loss,gap_retain_train_acc,gap_retain_train_loss,gap_forget_test_acc,gap_forget_test_loss,gap_retain_test_acc,gap_retain_test_loss,full_test_acc
ok,[],[],results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.6903555660247803,0.0011243004146549436,0.0,1.0,0.0009279102610424161,1.0,0.0011243004146549436,0.955,0.13360820245742797,0.9471111111111111,0.20557831700642903,9.139806886291504,nan,0.5629694,65.02750470000319,,,0 0 0 0 0 1 1 2 0 0 0 0 2 4 1 1 0 1 0 1 0 0 1 0 0 2 0 0 0 0,0,1.0,-10.136801726884954,4.444444444440254e-05,6.0212996188137215e-05,0.955,-9.861508740901948,0.00477777777777777,-0.03266768593258329,0.9479
ok,"[[4,""editor"",0,1],[4,""smoother"",3,2]]","['MASK', 'QUANTIZE']",results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.46424718084335326,0.023275958176122772,0.15886578689714145,0.102,4.856626526641846,0.9929333333333333,0.023275958176122772,0.114,5.440311828613281,0.9343333333333333,0.26599448161655004,3.4780677196502685,219.20249349586612,0.5578648,67.79097620001994,,MASK|QUANTIZE,0 0 0 0 1 0 2 2 1 2 0 0 3 2 2 1 3 0 0 1 1 2 1 1 1 2 0 2 2 0,1,0.102,-5.281103110504151,-0.007022222222222263,0.022211870757655967,0.114,-4.554805114746094,-0.008000000000000007,0.027748478677537713,0.8523
ok,"[[4,""smoother"",0,2],[5,""editor"",0,2]]","['DAMP', 'MASK']",results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.47548738894462583,0.004353814079695277,0.1084008615131714,0.6966,1.0314429756164551,0.9995555555555555,0.004353814079695277,0.613,1.782964370727539,0.9428888888888889,0.20876634168624877,2.5804254989624025,319.09295709468455,0.5484492000000001,67.67259610001929,,DAMP|MASK,0 0 0 0 1 1 2 2 1 2 0 0 3 2 2 1 0 4 0 1 1 2 0 2 0 2 0 1 2 0,2,0.6966,-9.106286661529541,-0.00040000000000006697,0.003289726661228471,0.613,-8.212152572631837,0.0005555555555555314,-0.02947966125276355,0.9099
ok,"[[0,""smoother"",2,2],[1,""smoother"",2,2]]",['CLIP'],results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.592777663230896,0.8887574250115289,0.08488155360255209,0.7486,1.0035992821395396,0.7691777777777777,0.8887574250115289,0.724,1.0975039215087892,0.7431111111111111,1.0998119595845541,6.414743053436279,1.129601120208159,0.5045604,65.50117029994726,,CLIP,1 1 0 0 0 0 0 2 2 1 0 0 2 2 1 1 1 4 0 0 2 2 1 1 2 2 0 0 2 0,3,0.7486,-9.134130355006457,-0.23077777777777786,0.8876933375930621,0.724,-8.897613021850587,-0.1992222222222223,0.8615659566455418,0.7411999999999999
ok,"[[0,""smoother"",2,2]]",['CLIP'],results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.653993357849121,0.25901029046376545,0.03636612240721364,0.935,0.21553989617228508,0.9330444444444445,0.25901029046376545,0.871,0.5255467910766601,0.866,0.5814744406806098,7.962176706695557,0.8321971498737603,0.5218011,65.75903740013018,,CLIP,1 0 0 0 0 0 1 2 2 1 0 0 2 1 1 1 1 4 0 0 2 2 1 1 2 2 0 0 2 0,4,0.935,-9.922189740973712,-0.06691111111111114,0.25794620304529864,0.871,-9.469570152282715,-0.07633333333333336,0.3432284377415975,0.8665
ok,"[[0,""smoother"",2,2]]",['CLIP'],results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.653993357849121,0.25901029046376545,0.03636612240721364,0.935,0.21553989617228508,0.9330444444444445,0.25901029046376545,0.871,0.5255467910766601,0.866,0.5814744406806098,7.962176706695557,0.8321971498737603,0.5218011,74.57217960013077,,CLIP,1 0 0 0 0 0 0 2 2 2 0 0 2 2 1 1 0 3 0 0 0 2 1 1 2 2 0 0 2 0,5,0.935,-9.922189740973712,-0.06691111111111114,0.25794620304529864,0.871,-9.469570152282715,-0.07633333333333336,0.3432284377415975,0.8665
ok,"[[4,""smoother"",0,2],[5,""editor"",0,2]]","['DAMP', 'MASK']",results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.47548738894462583,0.004353814079695277,0.1084008615131714,0.6966,1.0314429756164551,0.9995555555555555,0.004353814079695277,0.613,1.782964370727539,0.9428888888888889,0.20876634168624877,2.5804254989624025,319.09295709468455,0.5484492000000001,65.39766260003671,,DAMP|MASK,0 0 0 0 1 1 2 0 1 2 0 0 3 2 2 1 0 0 0 1 1 2 0 2 0 2 0 1 2 0,6,0.6966,-9.106286661529541,-0.00040000000000006697,0.003289726661228471,0.613,-8.212152572631837,0.0005555555555555314,-0.02947966125276355,0.9099
ok,"[[4,""editor"",0,1]]",['MASK'],results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.4889487529277802,0.030151392887036006,0.12200908358490564,0.0894,5.125835535430908,0.9912,0.030151392887036006,0.098,5.698761169433594,0.9314444444444444,0.2833415088653565,3.960510460281372,176.55600987409107,0.5551318000000001,59.02031200006604,,MASK,0 0 0 0 1 1 1 2 2 0 0 0 2 2 1 2 3 4 2 1 0 0 1 0 1 2 0 0 0 0,7,0.0894,-5.011894101715089,-0.008755555555555627,0.029087305468569198,0.098,-4.296355773925782,-0.010888888888888948,0.04509550592634415,0.8481
ok,"[[4,""smoother"",0,2],[5,""editor"",0,1]]","['DAMP', 'MASK']",results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.5826736163139343,0.003310496031244596,0.07994662371357542,0.878,0.35349934248924253,0.9995111111111111,0.003310496031244596,0.774,1.0924053955078126,0.9423333333333334,0.21852602095074125,4.5821627899169926,161.27167649260616,0.5474600000000001,55.422607500106096,,DAMP|MASK,0 0 0 0 1 1 0 2 1 2 0 0 3 2 2 1 0 4 0 1 1 2 0 1 0 2 2 1 2 0,8,0.878,-9.784230294656755,-0.0004444444444444695,0.0022464086127777895,0.774,-8.902711547851563,0.0,-0.019719981988271074,0.9255
ok,"[[4,""smoother"",0,2],[5,""editor"",0,1]]","['DAMP', 'MASK']",results/checkpoints/cifar10_resnet18_seed42_best.pt,results/checkpoints/class7_horse_reference_best_dr.pt,7,42,cuda:0,0.5826736163139343,0.003310496031244596,0.07994662371357542,0.878,0.35349934248924253,0.9995111111111111,0.003310496031244596,0.774,1.0924053955078126,0.9423333333333334,0.21852602095074125,4.5821627899169926,161.27167649260616,0.5474600000000001,54.91126249986701,,DAMP|MASK,0 0 0 0 1 1 2 2 0 0 2 0 3 2 2 1 0 4 0 1 1 2 0 1 0 2 0 1 2 0,9,0.878,-9.784230294656755,-0.0004444444444444695,0.0022464086127777895,0.774,-8.902711547851563,0.0,-0.019719981988271074,0.9255
